Date,Streamflow,Year,Month,Day
01-Jun-90,221,1990,6,1
01-Jul-90,83.2,1990,7,1
01-Aug-90,15.9,1990,8,1
01-Sep-90,4.99,1990,9,1
01-Oct-90,3.31,1990,10,1
01-Nov-90,,1990,11,1
01-Dec-90,,1990,12,1
01-Jan-91,,1991,1,1
01-Feb-91,,1991,2,1
01-Mar-91,0.721,1991,3,1
01-Apr-91,51.2,1991,4,1
01-May-91,156,1991,5,1
01-Jun-91,210,1991,6,1
01-Jul-91,251,1991,7,1
01-Aug-91,123,1991,8,1
01-Sep-91,94.4,1991,9,1
01-Oct-91,48.4,1991,10,1
01-Nov-91,,1991,11,1
01-Dec-91,,1991,12,1
01-Jan-92,,1992,1,1
01-Feb-92,,1992,2,1
01-Mar-92,10.3,1992,3,1
01-Apr-92,146,1992,4,1
01-May-92,362,1992,5,1
01-Jun-92,226,1992,6,1
01-Jul-92,135,1992,7,1
01-Aug-92,92.2,1992,8,1
01-Sep-92,103,1992,9,1
01-Oct-92,140,1992,10,1
01-Nov-92,,1992,11,1
01-Dec-92,,1992,12,1
01-Jan-93,,1993,1,1
01-Feb-93,,1993,2,1
01-Mar-93,1.72,1993,3,1
01-Apr-93,34.6,1993,4,1
01-May-93,59.7,1993,5,1
01-Jun-93,36.4,1993,6,1
01-Jul-93,90.3,1993,7,1
01-Aug-93,194,1993,8,1
01-Sep-93,136,1993,9,1
01-Oct-93,69.1,1993,10,1
01-Nov-93,,1993,11,1
01-Dec-93,,1993,12,1
01-Jan-94,,1994,1,1
01-Feb-94,,1994,2,1
01-Mar-94,3.48,1994,3,1
01-Apr-94,140,1994,4,1
01-May-94,308,1994,5,1
01-Jun-94,113,1994,6,1
01-Jul-94,58.9,1994,7,1
01-Aug-94,29.3,1994,8,1
01-Sep-94,7.4,1994,9,1
01-Oct-94,7.56,1994,10,1
01-Nov-94,,1994,11,1
01-Dec-94,,1994,12,1
01-Jan-95,,1995,1,1
01-Feb-95,,1995,2,1
01-Mar-95,0.887,1995,3,1
01-Apr-95,13,1995,4,1
01-May-95,130,1995,5,1
01-Jun-95,34.5,1995,6,1
01-Jul-95,30.5,1995,7,1
01-Aug-95,28.6,1995,8,1
01-Sep-95,9.18,1995,9,1
01-Oct-95,3.08,1995,10,1
01-Nov-95,,1995,11,1
01-Dec-95,,1995,12,1
01-Jan-96,,1996,1,1
01-Feb-96,,1996,2,1
01-Mar-96,1.07,1996,3,1
01-Apr-96,31.2,1996,4,1
01-May-96,293,1996,5,1
01-Jun-96,153,1996,6,1
01-Jul-96,93.1,1996,7,1
01-Aug-96,95.3,1996,8,1
01-Sep-96,159,1996,9,1
01-Oct-96,87.5,1996,10,1
01-Nov-96,,1996,11,1
01-Dec-96,,1996,12,1
01-Jan-97,,1997,1,1
01-Feb-97,,1997,2,1
01-Mar-97,4.29,1997,3,1
01-Apr-97,27.2,1997,4,1
01-May-97,416,1997,5,1
01-Jun-97,309,1997,6,1
01-Jul-97,307,1997,7,1
01-Aug-97,416,1997,8,1
01-Sep-97,288,1997,9,1
01-Oct-97,281,1997,10,1
01-Nov-97,,1997,11,1
01-Dec-97,,1997,12,1
01-Jan-98,,1998,1,1
01-Feb-98,,1998,2,1
01-Mar-98,10.6,1998,3,1
01-Apr-98,118,1998,4,1
01-May-98,146,1998,5,1
01-Jun-98,86.9,1998,6,1
01-Jul-98,157,1998,7,1
01-Aug-98,77.4,1998,8,1
01-Sep-98,11.8,1998,9,1
01-Oct-98,8.75,1998,10,1
01-Nov-98,,1998,11,1
01-Dec-98,,1998,12,1
01-Jan-99,,1999,1,1
01-Feb-99,,1999,2,1
01-Mar-99,1.58,1999,3,1
01-Apr-99,32.5,1999,4,1
01-May-99,124,1999,5,1
01-Jun-99,168,1999,6,1
01-Jul-99,151,1999,7,1
01-Aug-99,143,1999,8,1
01-Sep-99,81.9,1999,9,1
01-Oct-99,49.6,1999,10,1
01-Nov-99,,1999,11,1
01-Dec-99,,1999,12,1
01-Jan-00,,2000,1,1
01-Feb-00,,2000,2,1
01-Mar-00,3.49,2000,3,1
01-Apr-00,25.7,2000,4,1
01-May-00,185,2000,5,1
01-Jun-00,201,2000,6,1
01-Jul-00,120,2000,7,1
01-Aug-00,126,2000,8,1
01-Sep-00,99.1,2000,9,1
01-Oct-00,51,2000,10,1
01-Nov-00,,2000,11,1
