Date,Year,Month,Streamflow,Precipitation
01/01/1976,1976,1,320,33.58
01/02/1976,1976,2,267,20.19
01/03/1976,1976,3,241,22.04
01/04/1976,1976,4,242,28.61
01/05/1976,1976,5,854,23.46
01/06/1976,1976,6,3900,60.09
01/07/1976,1976,7,968,4.21
01/08/1976,1976,8,445,46.77
01/09/1976,1976,9,394,92.33
01/10/1976,1976,10,397,41.57
01/11/1976,1976,11,281,50.88
01/12/1976,1976,12,221,24.3
01/01/1977,1977,1,209,27.8
01/02/1977,1977,2,202,22.1
01/03/1977,1977,3,163,26.7
01/04/1977,1977,4,278.4,30
01/05/1977,1977,5,1860,36
01/06/1977,1977,6,1820,54.8
01/07/1977,1977,7,659,63.2
01/08/1977,1977,8,410,69.94
01/09/1977,1977,9,422,57
01/10/1977,1977,10,395,52.8
01/11/1977,1977,11,343,39.6
01/12/1977,1977,12,258,31.6
01/01/1978,1978,1,163,32.52
01/02/1978,1978,2,170,26.12
01/03/1978,1978,3,180,46.49
01/04/1978,1978,4,174,12.14
01/05/1978,1978,5,181,21.01
01/06/1978,1978,6,3430,64.31
01/07/1978,1978,7,1540,67.23
01/08/1978,1978,8,916,143.6
01/09/1978,1978,9,1010,98.22
01/10/1978,1978,10,1240,58.08
01/11/1978,1978,11,710,35.8
01/12/1978,1978,12,495,39.64
01/01/1979,1979,1,379,24.8
01/02/1979,1979,2,302,24.61
01/03/1979,1979,3,247,32.17
01/04/1979,1979,4,193,26.01
01/05/1979,1979,5,503,32.16
01/06/1979,1979,6,4460,113.43
01/07/1979,1979,7,2510,78.43
01/08/1979,1979,8,972,24.06
01/09/1979,1979,9,671,43.63
01/10/1979,1979,10,641,32.88
01/11/1979,1979,11,604,39.97
01/12/1979,1979,12,514,38.21
01/01/1980,1980,1,399,25.97
01/02/1980,1980,2,288,19.48
01/03/1980,1980,3,233,12.19
01/04/1980,1980,4,229,36.35
01/05/1980,1980,5,571,18.52
01/06/1980,1980,6,2900,51.08
01/07/1980,1980,7,1144,155.75
01/08/1980,1980,8,722,60.25
01/09/1980,1980,9,740,64.41
01/10/1980,1980,10,678,37.37
01/11/1980,1980,11,585,62.35
01/12/1980,1980,12,455,56.67
01/01/1981,1981,1,348.4,23.2
01/02/1981,1981,2,291.1,20.62
01/03/1981,1981,3,260.6,35.25
01/04/1981,1981,4,278.4,25.21
01/05/1981,1981,5,1129,28.96
01/06/1981,1981,6,3000.4,64.7
01/07/1981,1981,7,1144,118.23
01/08/1981,1981,8,722,37.44
01/09/1981,1981,9,740,45.18
01/10/1981,1981,10,678,27.32
01/11/1981,1981,11,585,17.09
01/12/1981,1981,12,455,36.55
01/01/1982,1982,1,348.4,26.4
01/02/1982,1982,2,291.1,21.5
01/03/1982,1982,3,260.6,5.67
01/04/1982,1982,4,278.4,26.92
01/05/1982,1982,5,1129,49.01
01/06/1982,1982,6,3000.4,47.6
01/07/1982,1982,7,1144,37.54
01/08/1982,1982,8,722,38.45
01/09/1982,1982,9,740,64.89
01/10/1982,1982,10,678,39.7
01/11/1982,1982,11,585,55.64
01/12/1982,1982,12,455,42.75
01/01/1983,1983,1,348.4,28.06
01/02/1983,1983,2,291.1,25.49
01/03/1983,1983,3,260.6,33.19
01/04/1983,1983,4,278.4,13.78
01/05/1983,1983,5,1129,35.99
01/06/1983,1983,6,3000.4,33.9
01/07/1983,1983,7,1144,44.22
01/08/1983,1983,8,722,37.99
01/09/1983,1983,9,740,46.11
01/10/1983,1983,10,678,80.81
01/11/1983,1983,11,585,38.36
01/12/1983,1983,12,455,39.04
01/01/1984,1984,1,327,24.69
01/02/1984,1984,2,270,24.98
01/03/1984,1984,3,245,17.67
01/04/1984,1984,4,237,24.8
01/05/1984,1984,5,405,24.23
01/06/1984,1984,6,2850,43.21
01/07/1984,1984,7,1060,108.14
01/08/1984,1984,8,640,62.85
01/09/1984,1984,9,641,45.74
01/10/1984,1984,10,678,43.31
01/11/1984,1984,11,585,33.97
01/12/1984,1984,12,455,47.38
01/01/1985,1985,1,282,39.68
01/02/1985,1985,2,226,8.25
01/03/1985,1985,3,252,18.34
01/04/1985,1985,4,279,32.94
01/05/1985,1985,5,404,51.66
01/06/1985,1985,6,3420,24.4
01/07/1985,1985,7,961,77.19
01/08/1985,1985,8,765,100.52
01/09/1985,1985,9,841,27.67
01/10/1985,1985,10,546,41.6
01/11/1985,1985,11,400,14.24
01/12/1985,1985,12,302,20.6
01/01/1986,1986,1,267,33.86
01/02/1986,1986,2,231,21.33
01/03/1986,1986,3,232,33.66
01/04/1986,1986,4,187,52.95
01/05/1986,1986,5,1129,42.54
01/06/1986,1986,6,3000.4,64.7
01/07/1986,1986,7,1320,115.68
01/08/1986,1986,8,969,44.57
01/09/1986,1986,9,725,90.6
01/10/1986,1986,10,678,55.06
01/11/1986,1986,11,585,39.94
01/12/1986,1986,12,455,22.49
01/01/1987,1987,1,398,27.63
01/02/1987,1987,2,255,35.84
01/03/1987,1987,3,191,19.34
01/04/1987,1987,4,169,14.12
01/05/1987,1987,5,1129,57.95
01/06/1987,1987,6,3000.4,28.2
01/07/1987,1987,7,1144,53.97
01/08/1987,1987,8,722,85.68
01/09/1987,1987,9,740,27.46
01/10/1987,1987,10,678,34.99
01/11/1987,1987,11,412,32.8
01/12/1987,1987,12,224,28.64
01/01/1988,1988,1,196,31.77
01/02/1988,1988,2,212,14.32
01/03/1988,1988,3,224,25.19
01/04/1988,1988,4,202,50.61
01/05/1988,1988,5,1129,58.12
01/06/1988,1988,6,3000.4,32.2
01/07/1988,1988,7,777,44.45
01/08/1988,1988,8,406,51.31
01/09/1988,1988,9,356,33.46
01/10/1988,1988,10,387,54.15
01/11/1988,1988,11,286,50.67
01/12/1988,1988,12,237,45.7
01/01/1989,1989,1,228,40.9
01/02/1989,1989,2,224,44.72
01/03/1989,1989,3,184,46.55
01/04/1989,1989,4,278.4,44.61
01/05/1989,1989,5,1129,26.43
01/06/1989,1989,6,3000.4,23.4
01/07/1989,1989,7,960,25.53
01/08/1989,1989,8,530,41.91
01/09/1989,1989,9,441,40.22
01/10/1989,1989,10,415,54.87
01/11/1989,1989,11,254,71.47
01/12/1989,1989,12,169,30.04
01/01/1990,1990,1,137,18.5
01/02/1990,1990,2,131,17.85
01/03/1990,1990,3,131,25.31
01/04/1990,1990,4,128,37.34
01/05/1990,1990,5,761,76.48
01/06/1990,1990,6,3760,48.99
01/07/1990,1990,7,1030,18.22
01/08/1990,1990,8,535,70.59
01/09/1990,1990,9,575,90.06
01/10/1990,1990,10,560,74.08
01/11/1990,1990,11,303,34.06
