Date,Streamflow,Year,Month,Day
01-Feb-86,,1986,2,1
01-Mar-86,0.02,1986,3,1
01-Apr-86,2.45,1986,4,1
01-May-86,5.56,1986,5,1
01-Jun-86,3,1986,6,1
01-Jul-86,2.63,1986,7,1
01-Aug-86,0.591,1986,8,1
01-Sep-86,0.113,1986,9,1
01-Oct-86,0.429,1986,10,1
01-Nov-86,,1986,11,1
01-Dec-86,,1986,12,1
01-Jan-87,,1987,1,1
01-Feb-87,,1987,2,1
01-Mar-87,0.036,1987,3,1
01-Apr-87,6.84,1987,4,1
01-May-87,5.39,1987,5,1
01-Jun-87,9.62,1987,6,1
01-Jul-87,1.01,1987,7,1
01-Aug-87,15,1987,8,1
01-Sep-87,0.464,1987,9,1
01-Oct-87,0.336,1987,10,1
01-Nov-87,,1987,11,1
01-Dec-87,,1987,12,1
01-Jan-88,,1988,1,1
01-Feb-88,,1988,2,1
01-Mar-88,0.021,1988,3,1
01-Apr-88,1.73,1988,4,1
01-May-88,4.46,1988,5,1
01-Jun-88,4.12,1988,6,1
01-Jul-88,4.39,1988,7,1
01-Aug-88,0.701,1988,8,1
01-Sep-88,0.179,1988,9,1
01-Oct-88,0.283,1988,10,1
01-Nov-88,,1988,11,1
01-Dec-88,,1988,12,1
01-Jan-89,,1989,1,1
01-Feb-89,,1989,2,1
01-Mar-89,0.025,1989,3,1
01-Apr-89,3.74,1989,4,1
01-May-89,18.8,1989,5,1
01-Jun-89,4.43,1989,6,1
01-Jul-89,0.508,1989,7,1
01-Aug-89,1.21,1989,8,1
01-Sep-89,0.594,1989,9,1
01-Oct-89,1.3,1989,10,1
01-Nov-89,,1989,11,1
01-Dec-89,,1989,12,1
01-Jan-90,,1990,1,1
01-Feb-90,,1990,2,1
01-Mar-90,0.021,1990,3,1
01-Apr-90,6.66,1990,4,1
01-May-90,10.8,1990,5,1
01-Jun-90,11.3,1990,6,1
01-Jul-90,0.547,1990,7,1
01-Aug-90,0.12,1990,8,1
01-Sep-90,0.05,1990,9,1
01-Oct-90,0.156,1990,10,1
01-Nov-90,,1990,11,1
01-Dec-90,,1990,12,1
01-Jan-91,,1991,1,1
01-Feb-91,,1991,2,1
01-Mar-91,0.006,1991,3,1
01-Apr-91,3.05,1991,4,1
01-May-91,2.34,1991,5,1
01-Jun-91,14.2,1991,6,1
01-Jul-91,4.38,1991,7,1
01-Aug-91,1.31,1991,8,1
01-Sep-91,1.74,1991,9,1
01-Oct-91,0.616,1991,10,1
01-Nov-91,,1991,11,1
01-Dec-91,,1991,12,1
01-Jan-92,,1992,1,1
01-Feb-92,,1992,2,1
01-Mar-92,2.25,1992,3,1
01-Apr-92,9.42,1992,4,1
01-May-92,8.25,1992,5,1
01-Jun-92,4.05,1992,6,1
01-Jul-92,2,1992,7,1
01-Aug-92,1.05,1992,8,1
01-Sep-92,4.98,1992,9,1
01-Oct-92,3.39,1992,10,1
01-Nov-92,,1992,11,1
01-Dec-92,,1992,12,1
01-Jan-93,,1993,1,1
01-Feb-93,,1993,2,1
01-Mar-93,0.053,1993,3,1
01-Apr-93,1.65,1993,4,1
01-May-93,1.73,1993,5,1
01-Jun-93,5.18,1993,6,1
01-Jul-93,3.76,1993,7,1
01-Aug-93,7.44,1993,8,1
01-Sep-93,1.77,1993,9,1
01-Oct-93,1.11,1993,10,1
01-Nov-93,,1993,11,1
01-Dec-93,,1993,12,1
01-Jan-94,,1994,1,1
01-Feb-94,,1994,2,1
01-Mar-94,1.27,1994,3,1
01-Apr-94,8.08,1994,4,1
01-May-94,5.87,1994,5,1
01-Jun-94,0.922,1994,6,1
01-Jul-94,2.71,1994,7,1
01-Aug-94,0.842,1994,8,1
01-Sep-94,0.235,1994,9,1
01-Oct-94,0.378,1994,10,1
01-Nov-94,,1994,11,1
01-Dec-94,,1994,12,1
01-Jan-95,,1995,1,1
01-Feb-95,,1995,2,1
01-Mar-95,0.005,1995,3,1
01-Apr-95,3.28,1995,4,1
01-May-95,5.14,1995,5,1
01-Jun-95,0.947,1995,6,1
01-Jul-95,1.51,1995,7,1
01-Aug-95,0.623,1995,8,1
01-Sep-95,0.163,1995,9,1
01-Oct-95,0.132,1995,10,1
01-Nov-95,,1995,11,1
01-Dec-95,,1995,12,1
01-Jan-96,,1996,1,1
01-Feb-96,,1996,2,1
01-Mar-96,0.032,1996,3,1
01-Apr-96,4.93,1996,4,1
01-May-96,8.71,1996,5,1
01-Jun-96,6.74,1996,6,1
01-Jul-96,1.49,1996,7,1
01-Aug-96,4.08,1996,8,1
01-Sep-96,1.74,1996,9,1
01-Oct-96,0.424,1996,10,1
01-Nov-96,,1996,11,1
01-Dec-96,,1996,12,1
01-Jan-97,,1997,1,1
01-Feb-97,,1997,2,1
01-Mar-97,0.033,1997,3,1
01-Apr-97,8.74,1997,4,1
01-May-97,17.7,1997,5,1
01-Jun-97,8.81,1997,6,1
01-Jul-97,9.57,1997,7,1
01-Aug-97,12,1997,8,1
01-Sep-97,11.9,1997,9,1
01-Oct-97,6.36,1997,10,1
01-Nov-97,,1997,11,1
01-Dec-97,,1997,12,1
01-Jan-98,,1998,1,1
01-Feb-98,,1998,2,1
01-Mar-98,0.497,1998,3,1
01-Apr-98,3.29,1998,4,1
01-May-98,1.72,1998,5,1
01-Jun-98,0.696,1998,6,1
01-Jul-98,3.98,1998,7,1
01-Aug-98,0.392,1998,8,1
01-Sep-98,0.033,1998,9,1
01-Oct-98,0.068,1998,10,1
01-Nov-98,,1998,11,1
01-Dec-98,,1998,12,1
01-Jan-99,,1999,1,1
01-Feb-99,,1999,2,1
01-Mar-99,0.037,1999,3,1
01-Apr-99,1.61,1999,4,1
01-May-99,1.9,1999,5,1
01-Jun-99,2.18,1999,6,1
01-Jul-99,2.64,1999,7,1
01-Aug-99,1.29,1999,8,1
01-Sep-99,0.323,1999,9,1
01-Oct-99,0.179,1999,10,1
01-Nov-99,,1999,11,1
01-Dec-99,,1999,12,1
01-Jan-00,,2000,1,1
01-Feb-00,,2000,2,1
01-Mar-00,0.636,2000,3,1
01-Apr-00,0.973,2000,4,1
01-May-00,8.23,2000,5,1
01-Jun-00,5.36,2000,6,1
01-Jul-00,1.9,2000,7,1
01-Aug-00,1.79,2000,8,1
01-Sep-00,2.06,2000,9,1
01-Oct-00,0.5,2000,10,1
01-Nov-00,,2000,11,1
01-Dec-00,,2000,12,1
01-Jan-01,,2001,1,1
01-Feb-01,,2001,2,1
01-Mar-01,0.014,2001,3,1
01-Apr-01,2.05,2001,4,1
01-May-01,5.74,2001,5,1
01-Jun-01,3.54,2001,6,1
01-Jul-01,2.94,2001,7,1
01-Aug-01,2.4,2001,8,1
01-Sep-01,0.854,2001,9,1
01-Oct-01,0.413,2001,10,1
01-Nov-01,,2001,11,1
01-Dec-01,,2001,12,1
01-Jan-02,,2002,1,1
01-Feb-02,,2002,2,1
01-Mar-02,0.002,2002,3,1
01-Apr-02,0.27,2002,4,1
01-May-02,4.45,2002,5,1
01-Jun-02,1.18,2002,6,1
01-Jul-02,0.33,2002,7,1
01-Aug-02,1.29,2002,8,1
01-Sep-02,2.01,2002,9,1
01-Oct-02,0.897,2002,10,1
01-Nov-02,,2002,11,1
01-Dec-02,,2002,12,1
01-Jan-03,,2003,1,1
01-Feb-03,,2003,2,1
01-Mar-03,0,2003,3,1
01-Apr-03,7.53,2003,4,1
01-May-03,6.58,2003,5,1
01-Jun-03,0.959,2003,6,1
01-Jul-03,3.97,2003,7,1
01-Aug-03,0.506,2003,8,1
01-Sep-03,0.161,2003,9,1
01-Oct-03,0.284,2003,10,1
01-Nov-03,,2003,11,1
01-Dec-03,,2003,12,1
01-Jan-04,,2004,1,1
01-Feb-04,,2004,2,1
01-Mar-04,0.37,2004,3,1
01-Apr-04,2.22,2004,4,1
01-May-04,1.63,2004,5,1
01-Jun-04,1.14,2004,6,1
01-Jul-04,0.98,2004,7,1
01-Aug-04,1.31,2004,8,1
01-Sep-04,3.39,2004,9,1
01-Oct-04,1.51,2004,10,1
01-Nov-04,,2004,11,1
01-Dec-04,,2004,12,1
01-Jan-05,,2005,1,1
01-Feb-05,,2005,2,1
01-Mar-05,0.533,2005,3,1
01-Apr-05,14.9,2005,4,1
01-May-05,8.4,2005,5,1
01-Jun-05,2.58,2005,6,1
01-Jul-05,3.37,2005,7,1
01-Aug-05,1.39,2005,8,1
01-Sep-05,0.42,2005,9,1
01-Oct-05,0.38,2005,10,1
01-Nov-05,,2005,11,1
01-Dec-05,,2005,12,1
01-Jan-06,,2006,1,1
01-Feb-06,,2006,2,1
01-Mar-06,0.028,2006,3,1
01-Apr-06,3.38,2006,4,1
01-May-06,1.64,2006,5,1
01-Jun-06,1.3,2006,6,1
01-Jul-06,3.69,2006,7,1
01-Aug-06,3.32,2006,8,1
01-Sep-06,0.03,2006,9,1
01-Oct-06,0.271,2006,10,1
01-Nov-06,,2006,11,1
01-Dec-06,,2006,12,1
01-Jan-07,,2007,1,1
01-Feb-07,,2007,2,1
01-Mar-07,0.044,2007,3,1
01-Apr-07,8.22,2007,4,1
01-May-07,10.1,2007,5,1
01-Jun-07,1.79,2007,6,1
01-Jul-07,3.05,2007,7,1
01-Aug-07,1.04,2007,8,1
01-Sep-07,1.76,2007,9,1
01-Oct-07,1.12,2007,10,1
01-Nov-07,,2007,11,1
01-Dec-07,,2007,12,1
01-Jan-08,,2008,1,1
01-Feb-08,,2008,2,1
01-Mar-08,0.043,2008,3,1
01-Apr-08,2.46,2008,4,1
01-May-08,13.6,2008,5,1
01-Jun-08,6.75,2008,6,1
01-Jul-08,4.2,2008,7,1
01-Aug-08,0.76,2008,8,1
01-Sep-08,0.464,2008,9,1
01-Oct-08,0.418,2008,10,1
01-Nov-08,,2008,11,1
01-Dec-08,,2008,12,1
01-Jan-09,,2009,1,1
01-Feb-09,,2009,2,1
01-Mar-09,0.108,2009,3,1
01-Apr-09,4.11,2009,4,1
01-May-09,6.69,2009,5,1
01-Jun-09,2.53,2009,6,1
01-Jul-09,4.94,2009,7,1
01-Aug-09,0.536,2009,8,1
01-Sep-09,0.609,2009,9,1
01-Oct-09,0.549,2009,10,1
01-Nov-09,,2009,11,1
01-Dec-09,,2009,12,1
01-Jan-10,,2010,1,1
01-Feb-10,,2010,2,1
01-Mar-10,0.379,2010,3,1
01-Apr-10,2.91,2010,4,1
01-May-10,5.83,2010,5,1
01-Jun-10,3.57,2010,6,1
01-Jul-10,1.67,2010,7,1
01-Aug-10,1.28,2010,8,1
01-Sep-10,2.54,2010,9,1
01-Oct-10,0.481,2010,10,1
01-Nov-10,,2010,11,1
01-Dec-10,,2010,12,1
01-Jan-11,,2011,1,1
01-Feb-11,,2011,2,1
01-Mar-11,0.187,2011,3,1
01-Apr-11,3.01,2011,4,1
01-May-11,11.4,2011,5,1
01-Jun-11,2.11,2011,6,1
01-Jul-11,11.6,2011,7,1
01-Aug-11,0.861,2011,8,1
01-Sep-11,0.167,2011,9,1
01-Oct-11,0.17,2011,10,1
01-Nov-11,,2011,11,1
01-Dec-11,,2011,12,1
01-Jan-12,,2012,1,1
01-Feb-12,,2012,2,1
01-Mar-12,0.064,2012,3,1
01-Apr-12,3.07,2012,4,1
01-May-12,3.12,2012,5,1
01-Jun-12,2.22,2012,6,1
01-Jul-12,0.473,2012,7,1
01-Aug-12,0.059,2012,8,1
01-Sep-12,0,2012,9,1
01-Oct-12,0.063,2012,10,1
01-Nov-12,,2012,11,1
01-Dec-12,,2012,12,1
01-Jan-13,,2013,1,1
01-Feb-13,,2013,2,1
01-Mar-13,0.08,2013,3,1
01-Apr-13,0.346,2013,4,1
01-May-13,17.7,2013,5,1
01-Jun-13,3.06,2013,6,1
01-Jul-13,0.616,2013,7,1
01-Aug-13,0.57,2013,8,1
01-Sep-13,0.636,2013,9,1
01-Oct-13,0.421,2013,10,1
01-Nov-13,,2013,11,1
01-Dec-13,,2013,12,1
01-Jan-14,,2014,1,1
01-Feb-14,,2014,2,1
01-Mar-14,0.295,2014,3,1
01-Apr-14,2.13,2014,4,1
01-May-14,12,2014,5,1
01-Jun-14,3.9,2014,6,1
01-Jul-14,0.774,2014,7,1
01-Aug-14,0.126,2014,8,1
01-Sep-14,0.038,2014,9,1
01-Oct-14,0.192,2014,10,1
01-Nov-14,,2014,11,1
01-Dec-14,,2014,12,1
01-Jan-15,,2015,1,1
01-Feb-15,,2015,2,1
01-Mar-15,0.478,2015,3,1
01-Apr-15,2.74,2015,4,1
01-May-15,0.721,2015,5,1
01-Jun-15,0.335,2015,6,1
01-Jul-15,0.241,2015,7,1
01-Aug-15,1.2,2015,8,1
01-Sep-15,0.159,2015,9,1
01-Oct-15,0.322,2015,10,1
01-Nov-15,,2015,11,1
01-Dec-15,,2015,12,1
01-Jan-16,,2016,1,1
01-Feb-16,,2016,2,1
01-Mar-16,,2016,3,1
01-Apr-16,,2016,4,1
01-May-16,,2016,5,1
01-Jun-16,,2016,6,1
01-Jul-16,,2016,7,1
01-Aug-16,,2016,8,1
01-Sep-16,,2016,9,1
01-Oct-16,,2016,10,1
01-Nov-16,,2016,11,1
01-Dec-16,,2016,12,1
01-Jan-17,,2017,1,1
01-Feb-17,,2017,2,1
01-Mar-17,,2017,3,1
01-Apr-17,,2017,4,1
01-May-17,,2017,5,1
01-Jun-17,,2017,6,1
01-Jul-17,,2017,7,1
01-Aug-17,,2017,8,1
01-Sep-17,,2017,9,1
01-Oct-17,,2017,10,1
01-Nov-17,,2017,11,1
01-Dec-17,,2017,12,1
01-Jan-18,,2018,1,1
01-Feb-18,,2018,2,1
01-Mar-18,0.004,2018,3,1
01-Apr-18,1.35,2018,4,1
01-May-18,1.85,2018,5,1
01-Jun-18,7.86,2018,6,1
01-Jul-18,1.66,2018,7,1
01-Aug-18,0.718,2018,8,1
01-Sep-18,1.84,2018,9,1
01-Oct-18,0.488,2018,10,1
01-Nov-18,,2018,11,1
01-Dec-18,,2018,12,1
